iter	Passed	Remaining
0	140	140524
1	142	70929
2	143	47693
3	144	36014
4	145	28976
5	146	24281
6	147	20968
7	148	18463
8	149	16505
9	150	14947
10	151	13662
11	152	12594
12	153	11683
13	154	10909
14	155	10237
15	156	9647
16	157	9128
17	158	8662
18	159	8241
19	161	7916
20	162	7590
21	163	7283
22	164	7004
23	165	6749
24	167	6513
25	168	6296
26	169	6123
27	170	5931
28	171	5753
29	172	5584
30	173	5437
31	174	5290
32	175	5156
33	176	5027
34	177	4902
35	178	4785
36	179	4674
37	180	4569
38	181	4468
39	182	4372
40	183	4284
41	184	4199
42	184	4117
43	185	4037
44	186	3962
45	187	3891
46	188	3823
47	189	3757
48	190	3692
49	191	3632
50	192	3573
51	193	3525
52	194	3477
53	195	3432
54	197	3388
55	198	3342
56	199	3304
57	201	3264
58	202	3224
59	203	3186
60	205	3158
61	208	3151
62	209	3114
63	210	3082
64	212	3050
65	213	3023
66	214	2991
67	216	2962
68	217	2933
69	218	2903
70	219	2875
71	221	2849
72	222	2824
73	223	2800
74	228	2817
75	229	2793
76	230	2766
77	231	2739
78	232	2713
79	234	2691
80	235	2666
81	235	2641
82	236	2613
83	237	2590
84	239	2574
85	240	2554
86	242	2541
87	243	2521
88	244	2501
89	246	2491
90	247	2471
91	248	2452
92	249	2433
93	250	2414
94	251	2396
95	252	2378
96	253	2360
97	255	2349
98	257	2343
99	258	2329
100	259	2314
101	261	2298
102	262	2284
103	264	2279
104	265	2265
105	266	2251
106	268	2237
107	272	2247
108	273	2235
109	274	2221
110	275	2207
111	276	2193
112	277	2180
113	278	2167
114	279	2154
115	280	2140
116	281	2125
117	282	2112
118	284	2102
119	285	2093
120	287	2085
121	287	2072
122	289	2061
123	290	2050
124	291	2040
125	292	2031
126	293	2020
127	295	2009
128	296	1999
129	297	1988
130	298	1979
131	299	1970
132	301	1964
133	302	1954
134	303	1944
135	304	1934
136	305	1924
137	306	1915
138	307	1905
139	308	1895
140	309	1885
141	310	1876
142	311	1868
143	313	1861
144	314	1856
145	316	1851
146	317	1844
147	319	1837
148	320	1832
149	322	1826
150	323	1821
151	325	1813
152	326	1807
153	328	1805
154	330	1800
155	331	1793
156	332	1786
157	333	1779
158	335	1771
159	336	1764
160	337	1756
161	338	1749
162	339	1744
163	340	1738
164	342	1733
165	343	1726
166	344	1720
167	346	1717
168	348	1711
169	349	1705
170	350	1698
171	351	1692
172	352	1686
173	354	1681
174	355	1676
175	357	1672
176	358	1666
177	360	1666
178	362	1660
179	365	1666
180	367	1662
181	368	1656
182	369	1651
183	371	1645
184	372	1642
185	374	1640
186	375	1634
187	377	1628
188	378	1622
189	379	1616
190	380	1610
191	381	1604
192	382	1597
193	383	1591
194	384	1585
195	385	1580
196	386	1575
197	387	1570
198	388	1564
199	389	1558
200	390	1553
201	391	1547
202	393	1543
203	394	1538
204	395	1533
205	396	1529
206	398	1524
207	399	1520
208	400	1515
209	401	1511
210	403	1507
211	404	1503
212	405	1499
213	407	1496
214	408	1492
215	409	1487
216	411	1483
217	412	1479
218	413	1474
219	414	1469
220	415	1466
221	417	1461
222	418	1456
223	419	1451
224	419	1446
225	420	1441
226	422	1437
227	422	1432
228	423	1427
229	424	1422
230	425	1417
231	426	1412
232	427	1407
233	428	1402
234	429	1397
235	430	1393
236	431	1389
237	432	1384
238	433	1379
239	434	1374
240	435	1370
241	436	1366
242	437	1361
243	437	1356
244	438	1352
245	439	1347
246	440	1343
247	441	1338
248	442	1333
249	443	1329
250	444	1325
251	445	1321
252	446	1317
253	447	1312
254	448	1309
255	449	1305
256	450	1301
257	451	1297
258	452	1293
259	452	1289
260	453	1284
261	454	1280
262	455	1276
263	456	1272
264	457	1268
265	458	1264
266	458	1259
267	459	1256
268	460	1252
269	461	1248
270	462	1245
271	463	1241
272	464	1237
273	465	1233
274	466	1229
275	467	1225
276	468	1221
277	469	1218
278	469	1214
279	470	1210
280	471	1207
281	472	1203
282	473	1199
283	474	1196
284	475	1192
285	476	1190
286	477	1187
287	478	1183
288	479	1180
289	480	1177
290	481	1173
291	482	1171
292	484	1167
293	485	1164
294	486	1161
295	487	1158
296	487	1154
297	488	1151
298	490	1149
299	491	1146
300	492	1143
301	493	1140
302	494	1137
303	495	1134
304	496	1131
305	497	1128
306	498	1125
